##APLS custom dictionary
##DO NOT EDIT IN EXCEL--IT WILL ADD EXTRA CHARACTERS

##N.B. Rows with just one entry are ignored by LaBB-CAT; these can be used for comments


##Pittsburgh/SWPA geographic names
Wilkinsburg,'wIl-kInz-"b3rg
Wilkinsburg,'wIl-kHz-"b3rg
Carnegie,'k#r-n@-gi
Carnegie,k#r-'n1-gi
Mellon,'mE-lH
Duquesne,du-'k1n
Mon,'mQn
Mon,'m$n
Homewood,'h5m-"wUd
Shadyside,'S1-di-"s2d
Larimer,'l#-rI-m@r
Larimer,'l#-r@-m@r
Larimer,'l{-rI-m@r
Larimer,'l{-r@-m@r
Hazelwood,'h1-zP-"wUd
Brashear,br@-'S7r
Beechview,'biJ-"vju
Milliones,m@-'l2nz
Weil,'w2l
Steeler,'sti-l@r
Steelers,'sti-l@rz
Penn,'PEn
McCandless,m@-'k{nd-l@s
Monroeville,mH-'r5-"vIl
Portersville,'p$r-t2rz-"vIl
Glenshaw,'glEn-"sh$
Pittsburgher,'pIts-b3r-g@r
Waynesburg,'w1nz-"b3rg
Fernway,'f3rn-"w1
Pennsylvanian,"pEn-sP-'v1n-jH
McMunn,mIk-'mVn


##Pittsburgh lexicon
nebby,'nE-bi
yinz,'jInz
yinzer,'jIn-z@r
Pittsburghese,"pIts-b3r-'giz
WAMO,'w{-m5
gumband,'gVm-b{nd
n'at,H-'{t
n'at,'n{t


##Other
Jo,'_5
Deener,'di-n@r
Kwanzaa,'kwQn-z@
Juneteenth,"_un-'tinT
Shawntae,"S$n-'t1
Applebee,'{-pP-bi
homie,'h5-mi
'n,H
Amiesite,'{-mI-s2t
'nother,'nV-D@r
Zehner,'z1-n@r
impatien,Im-'p1-SH
y'all,'j$l
artsy,'#rt-si
bachelorette,"b{J-l@r-'Et


##Allowable interjections
yup,'jVp
mmm,'F
uh,'V
nah,'nQ
nah,'n$
hmm,'hF
um,'Vm
aw,'$
oo,'u
ahh,'Q
ahh,'$
jeez,'_iz
whoops,'wUps
yuck,'jVk
woohoo,wu-'hu


##Tilde codes
p~,p
b~,b
t~,t
d~,d
k~,k
g~,g
f~,f
v~,v
th~,T
dh~,D
s~,s
z~,z
sh~,S
zh~,Z
h~,h
ch~,J
j~,_
m~,m
n~,n
ng~,N
l~,l
r~,r
w~,w
y~,j
wh~,w
ph~,f
kn~,n
ps~,s
pn~,n
pt~,t
wr~,r
a~,@
e~,E
i~,I
o~,5
u~,@
ou~,6
oi~,4
